Application Number,Facility Name,County,Facility Type,Keph Level,latitude,longitude,geocoded_address,geocoding_status,matched_county
CN-66446,003581ST. ODILIAS DISPENSARY,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.3100268,36.7793913,Saint Odilia's Dispensary,Success,
CN-66630,002826GATUNGA CATHOLIC HEALTH CENTRE,THARAKA-NITHI,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.206516213429,37.868692128983,Tharaka-Nithi,Success,
CN-66678,000817ORTUM MISSION HOSPITAL,WEST POKOT,FAITH BASED ORGANIZATION (FBO),LEVEL 4,1.730227858033,35.246700118527,West Pokot,Success,
CN-66836,005953RTC MEDICAL CENTRE,HOMA BAY,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.545235884388,34.356395993113,Homa Bay,Success,
CN-67176,001639ST. JOSEPH BURA MISSION DISPENSARY,TAITA-TAVETA,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-3.436547605259,38.417882139111,Taita Taveta,Success,
CN-67188,006141OUR LADY STAR OF THE SEA HURUMA HEALTH CENTRE,NAKURU,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.2806559,36.0794189,Nakuru,Success,
CN-67508,023500ST JOSEPH\\'S MISSION HOSPITAL RIAT,HOMA BAY,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-0.3476814,34.589509,"Riat, Homa Bay",Success,
CN-67556,001128COPTIC HOSPITAL - LUANDA,VIHIGA,FAITH BASED ORGANIZATION (FBO),LEVEL 4,0.0237146,34.619457,Hospital,Success,
CN-67907,003907NAMORUPUTH PAG HEALTH CENTRE,TURKANA,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,3.186636109974,35.449603095023,Turkana,Success,
CN-68220,000617LIGHT HOUSE FOR CHRIST EYE CENTRE,MOMBASA,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-4.0574645,39.663945,Mombasa,Success,
CN-68919,003471EBENEZER HEALTH CARE-UKWALA,SIAYA,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,0.1924719,34.1901769,"Ukwala, Siaya",Success,
CN-69094,002864KIMA MISSION HOSPITAL,VIHIGA,FAITH BASED ORGANIZATION (FBO),LEVEL 4,0.080244585317,34.730720378013,Vihiga,Success,
CN-69340,000930ST. CLARES BOLO MISSION HEALTH CENTRE,KISUMU,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.173053648767,34.839859182104,Kisumu,Success,
CN-69587,002299KAMBU CATHOLIC DISPENSARY,MAKUENI,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-2.160192128139,37.789123486634,Makueni,Success,
CN-70491,000301ST. JOSEPH MUKASA HEALTH CENTRE,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-1.2857857,36.8200253,Nairobi,Success,
CN-70894,001188CANA FAMILY CLINIC AND RESOURCE CENTRE,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-1.2857857,36.8200253,Nairobi,Success,
CN-70897,001870ROMBO HEALTH CENTRE,KAJIADO,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-2.080021,36.8223205,Health Centre,Success,
CN-71384,000742ST. THERESE DISPENSARY,KAJIADO,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-2.4119981,36.5503647,Dispensary,Success,
CN-71723,021140COPTIC HOSPITAL-SALGAA,NAKURU,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.2074025,35.8481313,"Salgaa, Nakuru",Success,
CN-71753,002888KALIMONI MISSION HOSPITAL-GITHURAI BRANCH,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-1.20549,36.91389,"Githurai, Nairobi",Success,
CN-71947,006767ST.JOSEPH\\'S LOWARENGAK HEALTH CENTRE,TURKANA,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,3.186636109974,35.449603095023,Turkana,Success,
CN-72101,007046OUR LADY OF MERCY KEBIRIGO(IBARA) HEALTH CENTRE,NYAMIRA,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.640626239534,34.967387947932,Nyamira,Success,
CN-72129,001369MARIGAT CATHOLIC MISSION HEALTH CENTRE,BARINGO,FAITH BASED ORGANIZATION (FBO),LEVEL 4,0.671904478344,35.940931127722,Baringo,Success,
CN-72232,006772NADAPAL DISPENSARY,TURKANA,FAITH BASED ORGANIZATION (FBO),LEVEL 2,3.186636109974,35.449603095023,Turkana,Success,
CN-72918,002339GIRIAMA MISSION DISPENSARY,KILIFI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-3.176503150822,39.68804728776,Kilifi,Success,
CN-72956,020186AGC LIONS NGOSWANI HOSPITAL,NAROK,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-1.257270424837,35.575800972424,Narok,Success,
CN-73220,001402ST. FRANCIS COMMUNITY HOSPITAL,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 5,-1.2857857,36.8200253,Nairobi,Success,
CN-73643,003571ST THERESA FSJ ASUMBI RODI HEALTH CENTRE,HOMA BAY,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.545235884388,34.356395993113,Homa Bay,Success,
CN-73744,003262TRINITY MISSION HOSPITAL LESERU,UASIN GISHU,FAITH BASED ORGANIZATION (FBO),LEVEL 4,0.5865785,35.1819013,"Leseru, Uasin Gishu",Success,
CN-73897,003430EMMANUEL MISSION HEALTH CENTRE,BUNGOMA,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,0.748950071987,34.640152743934,Bungoma,Success,
CN-73921,001253KAKUMA MISSION HOSPITAL,TURKANA,FAITH BASED ORGANIZATION (FBO),LEVEL 4,3.186636109974,35.449603095023,Turkana,Success,
CN-74123,002811ST PIUS MUSOLI HEALTH CENTRE,KAKAMEGA,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,0.28422,34.75229,Kakamega,Success,
CN-74825,001675KIMENDE ORTHODOX MISSION HEALTH CENTRE,KIAMBU,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-1.1672396,36.8255013,Kiambu,Success,
CN-74993,000667ST. MONICAH RAPOGI MISSION HEALTH CENTRE,MIGORI,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-0.989136495207,34.364493855317,Migori,Success,
CN-75018,002381CATHOLIC HOSPITAL WAMBA,SAMBURU,FAITH BASED ORGANIZATION (FBO),LEVEL 4,0.9787842,37.3252941,"Wamba, Samburu",Success,
CN-75296,001450POPE BENEDICT XVI HOSPITAL,LAIKIPIA,FAITH BASED ORGANIZATION (FBO),LEVEL 4,0.321036458859,36.76507926291,Laikipia,Success,
CN-75329,019702P.A.G. (K) MISSION HOSPITAL GOIBEI,VIHIGA,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,0.059446,34.8389144,"Goibei, Vihiga",Success,
CN-75412,003003MARALAL CATHOLIC DISPENSARY,SAMBURU,FAITH BASED ORGANIZATION (FBO),LEVEL 2,1.318064167382,37.118371297502,Samburu,Success,
CN-75505,001185AIC KIJABE HOSPITAL,KIAMBU,FAITH BASED ORGANIZATION (FBO),LEVEL 5,-0.949326474328,36.623243687327,Kijabe Hospital Link Road,Success,
CN-75841,000433SHIRIKISHO DISPENSARY OYUGIS,HOMA BAY,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-0.5093638,34.7354068,"Oyugis, Homa Bay",Success,
CN-75937,003697BALDO IPPOLITA CATHOLIC HEALTH CENTRE,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 3A,-1.2857857,36.8200253,Nairobi,Success,
CN-76104,000824CONSOLATA COTTAGE HOSPITAL CHUKA,THARAKA-NITHI,FAITH BASED ORGANIZATION (FBO),LEVEL 4,-0.3324938,37.6510117,"Chuka, Tharaka-Nithi",Success,
CN-76149,000467NGARUA CATHOLIC DISPENSARY,LAIKIPIA,FAITH BASED ORGANIZATION (FBO),LEVEL 2,0.321036458859,36.76507926291,Laikipia,Success,
CN-76152,001829EASTERN DEANERY AIDS RELIEF PROGRAM - SHAURI MOYO CLINIC,NAIROBI,FAITH BASED ORGANIZATION (FBO),LEVEL 2,-1.2857857,36.8200253,Nairobi,Success,
CN-76161,001482FR. ADRIANO BONFANTI CATHOLIC HEALTH CENTRE,KAJIADO,FAITH BASED ORGANIZATION (FBO),LEVEL 3B,-1.8419404,36.7892723,Kajiado,Success,
