Application Number,Facility Name,County,Facility Type,Keph Level
CN-40464,SAMAFAL MEDICAL CENTRE LIMITED,WAJIR,PRIVATE,LEVEL 3A
CN-40474,BAMA HOSPITAL LLP,SIAYA,PRIVATE,LEVEL 4
CN-40488,ST. ANN S MEDICAL CLINIC,KAJIADO,PRIVATE,LEVEL 2
CN-40528,WILLING WAY WELLNESS CENTRE LTD,KAJIADO,PRIVATE,LEVEL 3A
CN-40584,STELLAR PHYSIO HEALTH AND WELLNESS CENTRE LIMITED,NAIROBI,PRIVATE,LEVEL 3B
CN-40643,BETHESDA HEALTH CARE SERVICES KOBUJOI,NANDI,PRIVATE,LEVEL 3A
CN-40659,MUGUMO MEDICAL CENTRE KAGUMO,KIRINYAGA,PRIVATE,LEVEL 3B
CN-40768,NORTHERN SPECIALISTS HOSPITAL LIMITED,WAJIR,PRIVATE,LEVEL 4
CN-40800,MODOGASHE NURSING HOME,GARISSA,PRIVATE,LEVEL 3B
CN-40810,MALAIKA HEALTH CENTRE,KAKAMEGA,PRIVATE,LEVEL 3B
CN-40818,NDONYO HEALTH CARE,NAKURU,PRIVATE,LEVEL 3A
CN-40836,RAYTONS FAMILY MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 3A
CN-40844,NKUBU HARMONY THERAPY CENTRE,MERU,PRIVATE,LEVEL 3A
CN-40856,HEAL THWIZ MEDICAL CENTRE LIMITED,KISUMU,PRIVATE,LEVEL 3A
CN-40970,RHAMU NURSING HOME LIMITED,MANDERA,PRIVATE,LEVEL 3B
CN-40994,QUEENTERIC KAPIYO COMMUNITY NURSING,SIAYA,PRIVATE,LEVEL 4
CN-40996,LUMINO NURSING AND MATERNITY HOME,KAKAMEGA,PRIVATE,LEVEL 4
CN-40998,ELISS MEDICAL CENTRE,KAKAMEGA,PRIVATE,LEVEL 3B
CN-41008,GOLAN MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 2
CN-41014,TUMAINI MEDICAL CENTRE SINDO,HOMA BAY,PRIVATE,LEVEL 2
CN-41050,THE JAMBO KIDS NURSING AND MATERNITY HOME,LAMU,PRIVATE,LEVEL 3B
CN-41131,PEMASON MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3A
CN-41133,PENDA MEDICAL CENTRE-KAWANGWARE,NAIROBI,PRIVATE,LEVEL 3A
CN-41162,EQUITY AFIA KARIOBANGI,NAIROBI,PRIVATE,LEVEL 3A
CN-41204,VINE AND ROSES MEDICAL CLINIC,NAIROBI,PRIVATE,LEVEL 2
CN-41237,TIONYCARE HOSPITAL LIMITED,BARINGO,PRIVATE,LEVEL 4
CN-41246,CEDAR HOSPITAL,UASIN GISHU,PRIVATE,LEVEL 4
CN-41255,WINGS MEDICAL AND EYE CLINIC,LAIKIPIA,PRIVATE,LEVEL 2
CN-41293,LENMEK HEALTHCARE ANNEX MAGENCHE,KISII,PRIVATE,LEVEL 3B
CN-41314,SELVINE MEDICAL CENTRE,BUNGOMA,PRIVATE,LEVEL 2
CN-41380,KAPRORET DISPENSARY,KERICHO,PRIVATE,LEVEL 2
CN-41418,LANGATA HOSPITAL LTD,NAIROBI,PRIVATE,LEVEL 4
CN-41435,AL-RAYAN CHILD AND FAMILY CARE,WAJIR,PRIVATE,LEVEL 3A
CN-41444,VITAM EMA HEALTH LIMITED,KIAMBU,PRIVATE,LEVEL 2
CN-41492,HEALTH CHARGE MEDICAL CENTRE LTD,KIRINYAGA,PRIVATE,LEVEL 3A
CN-41571,NOVIC MEDICAL CENTRE,NAIROBI,PRIVATE,LEVEL 3A
CN-41580,HOLO KADAWA COMMUNITY CLINIC,KISUMU,PRIVATE,LEVEL 2
CN-41610,AFRICARE LIMITED NHIF BUILDING,NAIROBI,PRIVATE,LEVEL 2
CN-41646,JAMIRA MEDICAL CENTRE,TRANS-NZOIA,PRIVATE,LEVEL 2
